"","Sensitivity","1-Specificity"
"1",1,0
"2",1,0.000179307871615564
"3",1,0.000358615743231128
"4",1,0.000537923614846692
"5",1,0.000717231486462256
"6",1,0.00089653935807782
"7",1,0.00107584722969338
"8",1,0.00125515510130895
"9",1,0.00143446297292451
"10",1,0.00161377084454008
"11",1,0.00179307871615564
"12",1,0.0019723865877712
"13",1,0.00215169445938677
"14",1,0.00233100233100233
"15",1,0.0025103102026179
"16",1,0.00268961807423346
"17",1,0.00286892594584902
"18",1,0.00304823381746459
"19",1,0.00322754168908015
"20",1,0.00340684956069571
"21",1,0.00358615743231128
"22",1,0.00376546530392684
"23",1,0.00394477317554241
"24",1,0.00412408104715797
"25",1,0.00430338891877353
"26",1,0.0044826967903891
"27",1,0.00466200466200466
"28",1,0.00484131253362023
"29",1,0.00502062040523579
"30",1,0.00519992827685135
"31",1,0.00537923614846692
"32",1,0.00555854402008248
"33",1,0.00573785189169805
"34",1,0.00591715976331361
"35",1,0.00609646763492917
"36",1,0.00627577550654474
"37",1,0.0064550833781603
"38",1,0.00663439124977586
"39",1,0.00681369912139143
"40",1,0.00699300699300699
"41",1,0.00717231486462256
"42",1,0.00735162273623812
"43",1,0.00753093060785368
"44",1,0.00771023847946925
"45",1,0.00788954635108481
"46",1,0.00806885422270038
"47",1,0.00824816209431594
"48",1,0.0084274699659315
"49",1,0.00860677783754707
"50",1,0.00878608570916263
"51",1,0.0089653935807782
"52",1,0.00914470145239376
"53",1,0.00932400932400932
"54",1,0.00950331719562489
"55",1,0.00968262506724045
"56",1,0.00986193293885602
"57",1,0.0100412408104716
"58",1,0.0102205486820871
"59",1,0.0103998565537027
"60",1,0.0105791644253183
"61",1,0.0107584722969338
"62",1,0.0109377801685494
"63",1,0.011117088040165
"64",1,0.0112963959117805
"65",1,0.0114757037833961
"66",1,0.0116550116550117
"67",1,0.0118343195266272
"68",1,0.0120136273982428
"69",1,0.0121929352698583
"70",1,0.0123722431414739
"71",1,0.0125515510130895
"72",1,0.012730858884705
"73",1,0.0129101667563206
"74",1,0.0130894746279362
"75",1,0.0132687824995517
"76",1,0.0134480903711673
"77",1,0.0136273982427829
"78",1,0.0138067061143984
"79",1,0.013986013986014
"80",1,0.0141653218576296
"81",1,0.0143446297292451
"82",1,0.0145239376008607
"83",1,0.0147032454724762
"84",1,0.0148825533440918
"85",1,0.0150618612157074
"86",1,0.0152411690873229
"87",1,0.0154204769589385
"88",1,0.0155997848305541
"89",1,0.0157790927021696
"90",1,0.0159584005737852
"91",1,0.0161377084454008
"92",1,0.0163170163170163
"93",1,0.0164963241886319
"94",1,0.0166756320602474
"95",1,0.016854939931863
"96",1,0.0170342478034786
"97",1,0.0172135556750941
"98",1,0.0173928635467097
"99",1,0.0175721714183253
"100",1,0.0177514792899408
"101",1,0.0179307871615564
"102",1,0.018110095033172
"103",1,0.0182894029047875
"104",1,0.0184687107764031
"105",1,0.0186480186480186
"106",1,0.0188273265196342
"107",1,0.0190066343912498
"108",1,0.0191859422628653
"109",1,0.0193652501344809
"110",1,0.0195445580060965
"111",1,0.019723865877712
"112",1,0.0199031737493276
"113",1,0.0200824816209432
"114",1,0.0202617894925587
"115",1,0.0204410973641743
"116",1,0.0206204052357899
"117",1,0.0207997131074054
"118",1,0.020979020979021
"119",1,0.0211583288506365
"120",1,0.0215169445938677
"121",0.999657299520219,0.0215169445938677
"122",0.999657299520219,0.0216962524654832
"123",0.999657299520219,0.0218755603370988
"124",0.999657299520219,0.0220548682087144
"125",0.999657299520219,0.0222341760803299
"126",0.999657299520219,0.0224134839519455
"127",0.999657299520219,0.0225927918235611
"128",0.999657299520219,0.0227720996951766
"129",0.999657299520219,0.0229514075667922
"130",0.999657299520219,0.0231307154384077
"131",0.999657299520219,0.0233100233100233
"132",0.999657299520219,0.0234893311816389
"133",0.999657299520219,0.0236686390532544
"134",0.999657299520219,0.02384794692487
"135",0.999657299520219,0.0240272547964856
"136",0.999657299520219,0.0242065626681011
"137",0.999657299520219,0.0243858705397167
"138",0.999657299520219,0.0245651784113323
"139",0.999657299520219,0.0247444862829478
"140",0.999657299520219,0.0249237941545634
"141",0.999657299520219,0.025103102026179
"142",0.999657299520219,0.0252824098977945
"143",0.999657299520219,0.0254617177694101
"144",0.999657299520219,0.0256410256410256
"145",0.999657299520219,0.0258203335126412
"146",0.999657299520219,0.0259996413842568
"147",0.999657299520219,0.0261789492558723
"148",0.999657299520219,0.0263582571274879
"149",0.999657299520219,0.0265375649991035
"150",0.999657299520219,0.026716872870719
"151",0.999657299520219,0.0268961807423346
"152",0.999657299520219,0.0272547964855657
"153",0.999657299520219,0.0274341043571813
"154",0.999657299520219,0.0276134122287968
"155",0.999657299520219,0.0277927201004124
"156",0.999657299520219,0.027972027972028
"157",0.999657299520219,0.0281513358436435
"158",0.999657299520219,0.0283306437152591
"159",0.999657299520219,0.0285099515868747
"160",0.999657299520219,0.0286892594584902
"161",0.999657299520219,0.0288685673301058
"162",0.999657299520219,0.0290478752017214
"163",0.999657299520219,0.0292271830733369
"164",0.999657299520219,0.0294064909449525
"165",0.999657299520219,0.029585798816568
"166",0.999657299520219,0.0297651066881836
"167",0.999657299520219,0.0299444145597992
"168",0.999657299520219,0.0301237224314147
"169",0.999657299520219,0.0303030303030303
"170",0.999657299520219,0.0304823381746459
"171",0.999657299520219,0.030840953917877
"172",0.999657299520219,0.0311995696611081
"173",0.999657299520219,0.0313788775327237
"174",0.999657299520219,0.0315581854043393
"175",0.999657299520219,0.0317374932759548
"176",0.999657299520219,0.0319168011475704
"177",0.999657299520219,0.0322754168908015
"178",0.999657299520219,0.0324547247624171
"179",0.999657299520219,0.0326340326340326
"180",0.999657299520219,0.0328133405056482
"181",0.999657299520219,0.0329926483772638
"182",0.999657299520219,0.0331719562488793
"183",0.999657299520219,0.0333512641204949
"184",0.999657299520219,0.0335305719921105
